Cage,Cage_True,Time_Caging,Week,Treatment,Channel,Species,Common_Name,Vol_disp,Vol_empty_beaker,Vol_animal,Vol_water,WetWeight_g,WetWeight_kg,WW_MR_ml.h.g,MO2_ml.h,rsqrt,Run_#,Chamer size,Start,End,Run_Date,DeltaT_start,DeltaT_end,Notes,N_Dusky,Quality
2,2,End,Week 7,Saccharina,1,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,14.03,0.01403,0.02494468,0.3499738,0.98,58,240ml,8:20,9:00,14/05/2021,4616,7024,,,
2,2,End,Week 7,Saccharina,5,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,9.4,0.0094,0.03767146,0.3540504,0.98,58,240ml,8:20,9:00,14/05/2021,4616,7024,,,
6,6,End,Week 7,Macrocystis,2,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,17.19,0.01719,0.02414989,0.3807287,0.98,77,240ml,11:41,12:15,15/05/2021,11292,13714,,,
3,3,End,Week 7,Saccharina,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,24.98,0.02498,0.01538455,0.3842964,0.98,71,240ml,7:56,8:20,15/05/2021,1848,3287,,,
1,1,Start,Week 2,Saccharina,3,Pomaulax gibberosus,Red turban snail,325,300,25,215,43.91,0.04391,0.03133402,1.008268,0.85,5,240ml,10:10,10:40,08/04/2021,172,202,,,Bad
1,1,End,Week 7,Saccharina,6,Pomaulax gibberosus,Red turban snail,340,300,40,200,47.16,0.04716,0.008477128,0.3997814,0.98,45,240ml,8:48,9:10,13/05/2021,114,130,,,
5,5,End,Week 7,Macrocystis,2,Pomaulax gibberosus,Red turban snail,355,300,55,185,85.51,0.08551,0.00484,0.4136941,0.98,61,240ml,10:55,11:17,14/05/2021,11522,11992,,,
2,2,End,Week 7,Saccharina,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,18.45,0.01845,0.02383102,0.4398835,0.98,56,240ml,7:50,8:15,14/05/2021,3557,4615,,,
7,7,End,Week 7,Unfed,4,Pomaulax gibberosus,Red turban snail,520,500,20,220,28.82,0.02882,0.01577903,0.4547516,0.98,53,240ml,15:35,16:12,13/05/2021,521,557,,,
6,6,End,Week 7,Macrocystis,5,Pomaulax gibberosus,Red turban snail,515,500,15,225,34.7,0.0347,0.01498431,0.4580052,0.98,76,240ml,11:05,11:30,15/05/2021,10000,11291,,,
3,3,End,Week 7,Saccharina,8,Pomaulax gibberosus,Red turban snail,515,500,15,225,30.46,0.03046,0.01508342,0.4596411,0.98,70,240ml,7:25,7:50,15/05/2021,536,1845,,,
9,9Extra,End,Week 7,Unfed,8,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,19.98,0.01998,0.02679814,0.4656825,0.98,81,240ml,15:00,15:35,15/05/2021,16471,17712,,,
9,9,End,Week 7,Unfed,4,Pomaulax gibberosus,Red turban snail,310,300,10,230,18.02,0.01802,0.02422603,0.4701853,0.98,79,240ml,13:20,14:00,15/05/2021,14816,16022,,,
1,1,End,Week 7,Saccharina,4,Pomaulax gibberosus,Red turban snail,320,300,20,220,28.6,0.0286,0.01798341,0.5143255,0.98,45,240ml,8:48,9:10,13/05/2021,114,130,,,
5,5,Start,Week 2,Macrocystis,4,Pomaulax gibberosus,Red turban snail,320,300,20,220,39.23,0.03923,0.01041125,0.4084332,0.99,22,240ml,13:30,14:10,09/04/2021,370,404,Used D1Channel10 for background resp (broken sensor),,
1,1,Start,Week 2,Saccharina,2,Pomaulax gibberosus,Red turban snail,340,300,40,200,53.56,0.05356,0.01155851,0.6190736,1,5,240ml,10:10,10:40,08/04/2021,172,203,,,
8,8,End,Week 7,Unfed,3,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,72.04,0.07204,0.01322002,0.5248065,0.98,67,630ml,17:07,17:35,14/05/2021,30173,31428,,,
7,7,End,Week 7,Unfed,6,Pomaulax gibberosus,Red turban snail,520,500,20,220,27.08,0.02708,0.01946536,0.5271218,0.98,53,240ml,15:35,16:12,13/05/2021,521,557,,,
4,4,End,Week 7,Macrocystis,2,Pomaulax gibberosus,Red turban snail,320,300,20,220,45.65,0.04565,0.01122019,0.5293686,0.98,47,240ml,10:10,10:30,13/05/2021,202,215,,,
9,9,Start,Week 2,Unfed,8,Strongylocentrotus purpuratus,Purple sea urchin,325,300,25,215,31.45,0.03145,0.01711982,0.5384183,0.98,36,240ml,13:45,14:20,10/04/2021,14631,15222,,,
4,4,End,Week 7,Macrocystis,5,Pomaulax gibberosus,Red turban snail,330,300,30,210,52.87,0.05287,0.01028564,0.5438019,0.98,47,240ml,10:10,10:30,13/05/2021,197,215,,,
5,5,End,Week 7,Macrocystis,9,Strongylocentrotus purpuratus,Purple sea urchin,545,500,45,585,75.05,0.07505,0.007277883,0.5456245,0.98,60,630ml,10:25,10:45,14/05/2021,7192,8270,,,
8,8,End,Week 7,Unfed,1,Strongylocentrotus purpuratus,Purple sea urchin,520,500,20,220,43.3,0.0433,0.01601916,0.5645045,0.98,68,240ml,16:20,17:05,14/05/2021,27890,29072,,,
1,1,Start,Week 2,Saccharina,4,Pomaulax gibberosus,Red turban snail,340,300,40,200,70.9,0.0709,0.008659901,0.613987,1,5,240ml,10:10,10:40,08/04/2021,172,203,,,
7,7,End,Week 7,Unfed,4,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,79.09,0.07909,0.007654428,0.6053887,0.98,51,630ml,13:30,14:15,13/05/2021,401,440,,,
3,3,Start,Week 2,Saccharina,1,Pomaulax gibberosus,Red turban snail,350,300,50,190,67.2,0.0672,0.005764313,0.3873618,0.98,31,240ml,9:55,10:25,10/04/2021,5299,7112,,,
4,4,End,Week 7,Macrocystis,8,Pomaulax gibberosus,Red turban snail,320,300,20,220,47.54,0.04754,0.01417998,0.6202348,0.98,47,240ml,10:10,10:30,13/05/2021,200,215,,,
7,7,End,Week 7,Unfed,2,Pomaulax gibberosus,Red turban snail,545,500,45,195,69.04,0.06904,0.0108007,0.6727166,0.98,53,240ml,15:35,16:12,13/05/2021,521,557,,,
5,5,End,Week 7,Macrocystis,7,Pomaulax gibberosus,Red turban snail,340,300,40,200,56.44,0.05644,0.01390515,0.6884146,0.98,61,240ml,10:55,11:17,14/05/2021,11522,12792,,,
6,6,End,Week 7,Macrocystis,3,Pomaulax gibberosus,Red turban snail,515,500,15,225,38.92,0.03892,0.01758567,0.7030097,0.98,76,240ml,11:05,11:30,15/05/2021,9888,10899,,,
3,3,Start,Week 2,Saccharina,4,Pomaulax gibberosus,Red turban snail,340,300,40,200,49,0.049,0.007517534,0.3683592,0.97,31,240ml,9:55,10:25,10/04/2021,5303,7116,,,
4,4,End,Week 7,Macrocystis,8,Mesocentrotus franciscanus,Red sea urchin,520,500,20,610,31.56,0.03156,0.023692,0.7477197,0.98,50,630ml,11:15,11:45,13/05/2021,264,292,,,
4,4,End,Week 7,Macrocystis,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,26.47,0.02647,0.02860039,0.7570523,0.98,47,240ml,10:10,10:30,13/05/2021,201,207,,,
3,3,End,Week 7,Saccharina,2,Pomaulax gibberosus,Red turban snail,525,500,25,215,68.7,0.0687,0.01103509,0.7578049,0.98,70,240ml,7:25,7:50,15/05/2021,536,1845,,,
2,2,Start,Week 2,Saccharina,8,Pomaulax gibberosus,Red turban snail,510,500,10,230,21.31,0.02131,0.01639631,0.3576891,1,18,?,10:00,10:40,09/04/2021,154,185,Used D1Channel10 for background resp (broken sensor),,
6,6,Start,Week 2,Macrocystis,5,Pomaulax gibberosus,Red turban snail,510,500,10,230,24.71,0.02471,0.01371082,0.3387943,1,40,240ml,16:35,17:00,10/04/2021,22835,24357,,,
6,6,Start,Week 2,Macrocystis,1,Pomaulax gibberosus,Red turban snail,510,500,10,230,23.29,0.02329,0.01387733,0.3321265,0.99,40,240ml,16:35,17:00,10/04/2021,24656,26178,,,
5,5,End,Week 7,Macrocystis,3,Pomaulax gibberosus,Red turban snail,350,300,50,190,81.92,0.08192,0.01053091,0.8626191,0.98,61,240ml,10:55,11:17,14/05/2021,11522,12792,,,
1,1,End,Week 7,Saccharina,7,Pomaulax gibberosus,Red turban snail,345,300,45,195,69.37,0.06937,0.01283955,0.8906798,0.98,45,240ml,8:48,9:10,13/05/2021,114,130,,,
8,8,End,Week 7,Unfed,2,Strongylocentrotus purpuratus,Purple sea urchin,530,500,30,210,56.66,0.05666,0.01615125,0.9151299,0.98,68,240ml,16:20,17:05,14/05/2021,27770,29772,,,
7,7,End,Week 7,Unfed,7,Strongylocentrotus purpuratus,Purple sea urchin,600,500,100,530,118.03,0.11803,0.003841611,1.04485,0.98,51,630ml,13:30,14:15,13/05/2021,406,440,,,
1,1,End,Week 7,Saccharina,8,Pomaulax gibberosus,Red turban snail,348,300,48,192,73.97,0.07397,0.01459207,1.079375,0.98,45,240ml,8:48,9:10,13/05/2021,118,125,,,
7,7,End,Week 7,Unfed,3,Pomaulax gibberosus,Red turban snail,540,500,40,200,63.92,0.06392,0.01767913,1.13005,0.98,53,240ml,15:35,16:12,13/05/2021,521,556,,,
3,3,Start,Week 2,Saccharina,10,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,83.64,0.08364,0.01589789,1.3297,0.98,28,630ml,7:10,7:30,10/04/2021,0,807,added new time stamp,,
3,3,Start,Week 2,Saccharina,2,Strongylocentrotus purpuratus,Purple sea urchin,540,500,40,590,71.26,0.07126,0.01940018,1.382457,0.98,28,630ml,7:10,7:30,10/04/2021,150,807,added new time stamp,,
1,1,End,Week 7,Saccharina,1,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,77.61,0.07761,0.01923623,1.492924,0.98,42,630ml,6:53,7:25,13/05/2021,0,16,,,
1,1,End,Week 7,Saccharina,8,Strongylocentrotus purpuratus,Purple sea urchin,570,500,70,560,88.67,0.08867,0.01690609,1.499063,0.98,42,630ml,6:53,7:25,13/05/2021,0,16,,,
3,3,End,Week 7,Saccharina,6,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,86.7,0.0867,0.01629688,1.517573,0.98,69,630ml,7:09,7:18,15/05/2021,0,536,,,
4,4,End,Week 7,Macrocystis,8,Strongylocentrotus purpuratus,Purple sea urchin,560,500,60,570,96.84,0.09684,0.01670566,1.617776,0.98,48,630ml,11:50,12:30,13/05/2021,324,333,run repeated (stuck stir bar); restart at 12:18,,
1,1,End,Week 7,Saccharina,5,Strongylocentrotus purpuratus,Purple sea urchin,565,500,65,565,94.37,0.09437,0.01776045,1.676053,0.98,42,630ml,6:53,7:25,13/05/2021,17,31,"Stir bar wasn't spinning, run restarted at 7:12",,
3,3,End,Week 7,Saccharina,1,Strongylocentrotus purpuratus,Purple sea urchin,350,300,50,580,78.81,0.07881,0.02202533,1.735673,0.98,72,630ml,9:20,9:45,15/05/2021,5554,6923,,,
1,1,End,Week 7,Saccharina,9,Strongylocentrotus purpuratus,Purple sea urchin,600,500,100,530,131.05,0.13105,0.01507586,1.835873,0.98,42,630ml,6:53,7:25,13/05/2021,0,16,,,
1,1,End,Week 7,Saccharina,5,Pomaulax gibberosus,Red turban snail,330,300,30,210,37.99,0.03799,0.06051259,1.850026,0.98,45,240ml,8:48,9:10,13/05/2021,118,125,,,
6,6,Start,Week 2,Macrocystis,2,Mesocentrotus franciscanus,Red sea urchin,570,500,70,560,89.28,0.08928,0.09381836,8.376103,0.98,39,630ml,17:55,18:15,10/04/2021,29731,30100,,,
4,4,End,Week 7,Macrocystis,7,Tegula pulligo,Dusky turban snail,31,30,1,239,2.43,0.00243,0.02131377,0.05179246,0.99,46,240ml,9:10,9:55,13/05/2021,136,192,,2,
1,1,Start,Week 2,Saccharina,6,Pomaulax gibberosus,Red turban snail,330,300,30,210,45.65,0.04565,0.009881239,0.4510785,0.99,5,240ml,10:10,10:40,08/04/2021,172,203,,,
7,7,End,Week 7,Unfed,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,14.4,0.0144,0.006423887,0.09250398,0.99,54,?,16:17,17:20,13/05/2021,563,633,,,
7,7,End,Week 7,Unfed,6,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,7.32,0.00732,0.01360906,0.09961835,0.99,54,?,16:17,17:20,13/05/2021,563,633,,,
1,1,Start,Week 2,Saccharina,5,Pomaulax gibberosus,Red turban snail,320,300,20,220,32.97,0.03297,0.009662489,0.3185723,0.99,5,240ml,10:10,10:40,08/04/2021,172,203,,,
1,1,Start,Week 2,Saccharina,9,Pomaulax gibberosus,Red turban snail,320,300,20,220,37.92,0.03792,0.007265613,0.2755121,0.96,5,240ml,10:10,10:40,08/04/2021,172,203,,,
8,8,Start,Week 2,Unfed,9,Pomaulax gibberosus,Red turban snail,315,300,15,225,30.88,0.03088,0.01063653,0.3284562,0.83,25,240ml,16:20,17:10,09/04/2021,534,585,Used D1Channel10 for background resp (broken sensor),,
8,8,Start,Week 2,Unfed,5,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,7.21,0.00721,0.01560269,0.1124954,0.99,25,240ml,16:20,17:10,09/04/2021,534,580,Used D1Channel10 for background resp (broken sensor),,
2,2,Start,Week 2,Saccharina,7,Tegula pulligo,Dusky turban snail,34,30,4,236,5.78,0.00578,0.01881855,0.1172541,0.99,14,240ml,8:10,9:05,09/04/2021,50,102,Used D1Channel10 for background resp (broken sensor),3,
8,8Extra,End,Week 7,Unfed,8,Mesocentrotus franciscanus,Red sea urchin,510,500,10,230,15.79,0.01579,0.005288688,0.1205724,0.99,68,240ml,16:20,17:05,14/05/2021,28425,29627,,,
9,9Extra,End,Week 7,Unfed,9,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,9.72,0.00972,0.01583205,0.1230237,0.99,81,240ml,15:00,15:35,15/05/2021,19489,21131,,,
7,7,End,Week 7,Unfed,3,Tegula pulligo,Dusky turban snail,33,30,3,237,8.57,0.00857,0.01468201,0.1258299,0.99,55,240ml,6:45,7:35,14/05/2021,0,3156,,3,
8,8,Start,Week 2,Unfed,1,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,18.73,0.01873,0.006719576,0.1258577,0.99,25,240ml,16:20,17:10,09/04/2021,534,585,Used D1Channel10 for background resp (broken sensor),,
9,9,End,Week 7,Unfed,7,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,10.39,0.01039,0.01238848,0.1286922,0.99,80,240ml,14:05,14:50,15/05/2021,13783,16471,,,
8,8,End,Week 7,Unfed,5,Tegula pulligo,Dusky turban snail,31,30,1,239,5.29,0.00529,0.02475692,0.1309704,0.99,64,240ml,12:52,13:55,14/05/2021,16960,20594,,3,
7,7,Start,Week 2,Unfed,2,Tegula pulligo,Dusky turban snail,36,30,6,234,7.58,0.00758,0.01666661,0.1347259,0.99,14,240ml,8:10,9:05,09/04/2021,50,102,Used D1Channel10 for background resp (broken sensor),3,
2,2,End,Week 7,Saccharina,5,Tegula pulligo,Dusky turban snail,33,30,3,237,6.4,0.0064,0.02199831,0.1407993,0.99,55,240ml,6:45,7:35,14/05/2021,300,3156,,3,
8,8,Start,Week 2,Unfed,3,Tegula pulligo,Dusky turban snail,31,30,1,239,7.17,0.00717,0.02010861,0.1441787,0.99,23,240ml,14:18,15:05,09/04/2021,420,458,Used D1Channel10 for background resp (broken sensor),3,
8,8,Start,Week 2,Unfed,4,Tegula pulligo,Dusky turban snail,31,30,1,239,6,0.006,0.02491681,0.1495009,0.99,23,240ml,14:18,15:05,09/04/2021,413,458,Used D1Channel10 for background resp (broken sensor),3,
9,9,Start,Week 2,Unfed,4,Tegula pulligo,Dusky turban snail,33,30,3,237,6.28,0.00628,0.02437889,0.1530994,0.99,32,240ml,10:35,11:30,10/04/2021,7617,10246,,3,
3,3,Start,Week 2,Saccharina,5,Pomaulax gibberosus,Red turban snail,325,300,25,215,40.14,0.04014,0.008082235,0.3244209,0.95,31,240ml,9:55,10:25,10/04/2021,5303,7116,,,
9,9Extra,End,Week 7,Unfed,6,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,9.63,0.00963,0.01640223,0.1594546,0.99,81,240ml,15:00,15:35,15/05/2021,16471,18413,,,
6,6,End,Week 7,Macrocystis,8,Pomaulax gibberosus,Red turban snail,315,300,15,225,20.15,0.02015,0.007951222,0.1602338,0.99,77,240ml,11:41,12:15,15/05/2021,9052,11474,,,
9,9,End,Week 7,Unfed,6,Pomaulax gibberosus,Red turban snail,310,300,10,230,15.29,0.01529,0.01090129,0.1667004,0.99,79,240ml,13:20,14:00,15/05/2021,11475,13781,,,
8,8,End,Week 7,Unfed,3,Tegula pulligo,Dusky turban snail,33,30,3,237,6.41,0.00641,0.02641311,0.1693151,0.99,64,240ml,12:52,13:55,14/05/2021,16960,20594,,3,
1,1,Start,Week 2,Saccharina,1,Pomaulax gibberosus,Red turban snail,320,300,20,220,27.82,0.02782,0.009562132,0.2660185,0.96,5,240ml,10:10,10:40,08/04/2021,172,203,,,
2,2,Start,Week 2,Saccharina,8,Tegula pulligo,Dusky turban snail,36,30,6,234,8.72,0.00872,0.01850763,0.1698143,0.99,14,240ml,8:10,9:05,09/04/2021,50,102,Used D1Channel10 for background resp (broken sensor),3,
3,3,Start,Week 2,Saccharina,8,Pomaulax gibberosus,Red turban snail,330,300,30,210,33.66,0.03366,0.009352892,0.3148183,0.99,30,240ml,8:50,9:50,10/04/2021,4700,6748,,,
3,3,Start,Week 2,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,10.69,0.01069,0.01611245,0.172242,0.99,30,240ml,8:50,9:50,10/04/2021,3178,5302,,,
1,1,Start,Week 2,Saccharina,8,Pomaulax gibberosus,Red turban snail,305,300,5,235,18.16,0.01816,0.01107115,0.2010521,0.98,5,240ml,10:10,10:40,08/04/2021,172,203,,,
8,8,Start,Week 2,Unfed,3,Mesocentrotus franciscanus,Red sea urchin,305,300,5,235,10.48,0.01048,0.0174591,0.1829713,0.99,25,240ml,16:20,17:10,09/04/2021,534,570,Used D1Channel10 for background resp (broken sensor),,
8,8,End,Week 7,Unfed,3,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,16.01,0.01601,0.01147652,0.1837392,0.99,66,240ml,15:07,16:10,14/05/2021,23898,27769,,,
1,1,End,Week 7,Saccharina,3,Tegula pulligo,Dusky turban snail,32,30,2,238,6.03,0.00603,0.03061833,0.1846285,0.99,46,240ml,9:10,9:55,13/05/2021,136,192,,2,
8,8,End,Week 7,Unfed,6,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,13.42,0.01342,0.01401105,0.1880283,0.99,66,240ml,15:07,16:10,14/05/2021,23898,27769,,,
8,8,End,Week 7,Unfed,4,Pomaulax gibberosus,Red turban snail,310,300,10,230,19.63,0.01963,0.009173418,0.1885045,0.99,65,240ml,14:05,15:00,14/05/2021,20595,23897,,,
9,9Extra,End,Week 7,Unfed,5,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,12.53,0.01253,0.01545012,0.1936032,0.99,81,240ml,15:00,15:35,15/05/2021,18711,20653,,,
6,6,End,Week 7,Macrocystis,4,Tegula pulligo,Dusky turban snail,33,30,3,237,7.84,0.00784,0.02595468,0.1946486,0.99,73,240ml,8:30,9:05,15/05/2021,3287,5553,,3,
3,3,Start,Week 2,Saccharina,3,Tegula pulligo,Dusky turban snail,35,30,5,235,9.15,0.00915,0.0218325,0.1997674,0.99,32,240ml,10:35,11:30,10/04/2021,7117,10246,,3,
5,5,Start,Week 2,Macrocystis,1,Pomaulax gibberosus,Red turban snail,320,300,20,220,23.17,0.02317,0.01300312,0.3012823,0.99,22,240ml,13:30,14:10,09/04/2021,361,404,Used D1Channel10 for background resp (broken sensor),,
9,9,Start,Week 2,Unfed,5,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,12.76,0.01276,0.01593752,0.2033781,0.99,35,240ml,12:33,13:35,10/04/2021,13056,16796,,,
7,7,End,Week 7,Unfed,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,14.63,0.01463,0.01402481,0.205183,0.99,54,?,16:17,17:20,13/05/2021,563,633,,,
8,8,End,Week 7,Unfed,9,Pomaulax gibberosus,Red turban snail,315,300,15,225,22.95,0.02295,0.009708199,0.2058557,0.99,65,240ml,14:05,15:00,14/05/2021,17445,20746,,,
2,2,End,Week 7,Saccharina,7,Tegula pulligo,Dusky turban snail,33,30,3,237,8.72,0.00872,0.02367399,0.2064824,0.99,55,240ml,6:45,7:35,14/05/2021,1400,3156,,3,
3,3,Start,Week 2,Saccharina,1,Tegula pulligo,Dusky turban snail,33,30,3,237,6.51,0.00651,0.03179213,0.2069668,0.99,32,240ml,10:35,11:30,10/04/2021,7113,10242,,3,
2,2,End,Week 7,Saccharina,6,Tegula pulligo,Dusky turban snail,34,30,4,236,10.16,0.01016,0.0205331,0.2086284,0.99,55,240ml,6:45,7:35,14/05/2021,0,3156,,3,
9,9,End,Week 7,Unfed,1,Strongylocentrotus purpuratus,Purple sea urchin,320,300,20,220,31.44,0.03144,0.00675,0.2123845,0.99,81,240ml,15:00,15:35,15/05/2021,21350,23292,,,
1,1,End,Week 7,Saccharina,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,11.72,0.01172,0.01816984,0.2129506,0.99,44,240ml,8:10,8:40,13/05/2021,79,108,,,
3,3,End,Week 7,Saccharina,3,Tegula pulligo,Dusky turban snail,34,30,4,236,10.06,0.01006,0.02152059,0.2165073,0.99,73,240ml,8:30,9:05,15/05/2021,3286,5552,,3,
3,3,Start,Week 2,Saccharina,10,Pomaulax gibberosus,Red turban snail,320,300,20,220,33.47,0.03347,0.008991261,0.3009375,1,31,240ml,9:55,10:25,10/04/2021,6982,8695,,,
9,9,End,Week 7,Unfed,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,17.41,0.01741,0.01255999,0.2186892,0.99,79,240ml,13:20,14:00,15/05/2021,11476,13782,,,
6,6,Start,Week 2,Macrocystis,10,Pomaulax gibberosus,Red turban snail,520,500,20,220,35.5,0.0355,0.008318665,0.2953126,0.99,40,240ml,16:35,17:00,10/04/2021,24031,25553,,,
4,4,End,Week 7,Macrocystis,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,10.13,0.01013,0.02213344,0.2242117,0.99,49,?,10:35,11:07,13/05/2021,222,254,,,
1,1,Start,Week 2,Saccharina,7,Pomaulax gibberosus,Red turban snail,305,300,5,235,10.12,0.01012,0.01675387,0.1695492,0.99,5,240ml,10:10,10:40,08/04/2021,172,203,,,
9,9,Start,Week 2,Unfed,2,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,21.09,0.02109,0.01092492,0.2304066,0.99,36,240ml,13:45,14:20,10/04/2021,17561,19752,,,
4,4,Start,Week 2,Macrocystis,5,Mesocentrotus franciscanus,Red sea urchin,560,500,60,570,83.84,0.08384,0.09330355,1.612746,0.61,6,630ml,10:50,11:26,08/04/2021,211,250,,,Bad
8,8,End,Week 7,Unfed,1,Pomaulax gibberosus,Red turban snail,315,300,15,225,30.77,0.03077,0.008014535,0.2370532,0.99,65,240ml,14:05,15:00,14/05/2021,20595,23897,,,
9,9,End,Week 7,Unfed,9,Pomaulax gibberosus,Red turban snail,310,300,10,230,17.19,0.01719,0.01410336,0.2424055,0.99,79,240ml,13:20,14:00,15/05/2021,14493,16799,,,
5,5,Start,Week 2,Macrocystis,5,Pomaulax gibberosus,Red turban snail,315,300,15,225,30.39,0.03039,0.008591607,0.2610989,1,22,240ml,13:30,14:10,09/04/2021,370,404,Used D1Channel10 for background resp (broken sensor),,
2,2,End,Week 7,Saccharina,4,Pomaulax gibberosus,Red turban snail,315,300,15,225,25.85,0.02585,0.03191403,0.2489825,0.99,56,240ml,7:50,8:15,14/05/2021,3457,4415,,,
2,2,Start,Week 2,Saccharina,4,Pomaulax gibberosus,Red turban snail,515,500,15,225,25.13,0.02513,0.00989276,0.2566914,0.99,18,?,10:00,10:40,09/04/2021,154,194,Used D1Channel10 for background resp (broken sensor),,
6,6,Start,Week 2,Macrocystis,3,Pomaulax gibberosus,Red turban snail,510,500,10,230,23.7,0.0237,0.01080904,0.2561743,1,40,240ml,16:35,17:00,10/04/2021,24660,26182,,,
9,9,End,Week 7,Unfed,3,Pomaulax gibberosus,Red turban snail,310,300,10,230,19.92,0.01992,0.01349943,0.2532786,0.99,79,240ml,13:20,14:00,15/05/2021,16353,18659,,,
4,4,End,Week 7,Macrocystis,2,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,11.12,0.01112,0.01591151,0.2551773,0.99,49,?,10:35,11:07,13/05/2021,222,254,,,
5,5,Start,Week 2,Macrocystis,8,Pomaulax gibberosus,Red turban snail,310,300,10,230,17.95,0.01795,0.01399836,0.2512706,0.99,22,240ml,13:30,14:10,09/04/2021,361,404,Used D1Channel10 for background resp (broken sensor),,
9,9,End,Week 7,Unfed,1,Tegula pulligo,Dusky turban snail,33,30,3,237,7.89,0.00789,0.03329054,0.2593141,0.99,82,240ml,12:20,13:10,15/05/2021,13716,16053,Dusky Channel 1 & 3 only,3,
9,9,Start,Week 2,Unfed,1,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,19.91,0.01991,0.01317305,0.2622755,0.99,36,240ml,13:45,14:20,10/04/2021,16311,18502,,,
9,9,Start,Week 2,Unfed,7,Strongylocentrotus purpuratus,Purple sea urchin,345,300,45,195,50.99,0.05099,0.01234313,0.2843335,0.99,36,240ml,13:45,14:20,10/04/2021,17409,18500,,,
4,4,Start,Week 2,Macrocystis,2,Strongylocentrotus purpuratus,Purple sea urchin,550,500,50,580,64.88,0.06488,0.02073825,1.345498,0.97,6,630ml,10:50,11:26,08/04/2021,211,250,,,
9,9,End,Week 7,Unfed,2,Pomaulax gibberosus,Red turban snail,315,300,15,225,23.47,0.02347,0.01224584,0.2874402,0.99,79,240ml,13:20,14:00,15/05/2021,14715,16021,,,
5,5,End,Week 7,Macrocystis,6,Pomaulax gibberosus,Red turban snail,310,300,10,230,15.73,0.01573,0.0184642,0.2905108,0.99,61,240ml,10:55,11:17,14/05/2021,11522,12792,,,
2,2,Start,Week 2,Saccharina,7,Pomaulax gibberosus,Red turban snail,505,500,5,235,13.72,0.01372,0.1594696,0.2501484,0.99,18,?,10:00,10:40,09/04/2021,154,160,Used D1Channel10 for background resp (broken sensor),,
1,1,End,Week 7,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,9.55,0.00955,0.03096941,0.2957579,0.99,44,240ml,8:10,8:40,13/05/2021,79,108,,,
5,5,End,Week 7,Macrocystis,8,Pomaulax gibberosus,Red turban snail,315,300,15,225,17.82,0.01782,0.01669961,0.2976013,0.99,62,240ml,11:30,12:15,14/05/2021,12648,15452,,,
9,9Extra,End,Week 7,Unfed,7,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,12.16,0.01216,0.02450611,0.2979773,0.99,81,240ml,15:00,15:35,15/05/2021,16472,18414,,,
9,9,End,Week 7,Unfed,1,Pomaulax gibberosus,Red turban snail,320,300,20,220,30.95,0.03095,0.009720023,0.3008212,0.99,79,240ml,13:20,14:00,15/05/2021,16354,18660,,,
3,3,Start,Week 2,Saccharina,3,Pomaulax gibberosus,Red turban snail,320,300,20,220,26.74,0.02674,0.009289784,0.2483589,0.94,31,240ml,9:55,10:25,10/04/2021,5305,7115,,,
6,6,End,Week 7,Macrocystis,9,Pomaulax gibberosus,Red turban snail,510,500,10,230,26.36,0.02636,0.01161108,0.3060105,0.99,76,240ml,11:05,11:30,15/05/2021,7449,9052,,,
5,5,End,Week 7,Macrocystis,5,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,11.97,0.01197,0.02656216,0.3073001,0.99,62,240ml,11:30,12:15,14/05/2021,12793,15597,,,
